"","Beer Style","review_overall","review_aroma","review_appearance","review_palate","review_taste","beer_abv","inds","review_overall","review_aroma","review_appearance","review_palate","review_taste","beer_abv","inds"
"1","90 Minute IPA","4.14574468085106","4.21352583586626","4.19209726443769","4.18176291793313","4.32598784194529","9","56","0.58390426040952","0.491102996042982","0.424469883422032","0.493744934685731","0.545895444454872","0","0"
"2","Ølfabrikken Porter","4.20642201834862","4.26911314984709","4.30581039755352","4.29510703363914","4.36544342507645","7.5","19","0.523428157513638","0.440712066086974","0.44624871412799","0.491561214050666","0.455301122980172","0","0"
"3","§ucaba (Abacus)","4.375","4.37630208333333","4.05729166666667","4.29296875","4.50520833333333","13","63","0.448379734625659","0.467966962744371","0.466192799943206","0.452122974863563","0.442487578068578","0","0"
"4","Abbaye De Saint Bon-Chien","4.18390804597701","4.34195402298851","3.91091954022989","4.10632183908046","4.3448275862069","11","29","0.527371837586533","0.436113521521911","0.550193097335705","0.503071754940151","0.517387528352509","0","0"
"5","Abbaye Des Rocs [Brasserie Des Rocs Brune]","4.22822299651568","4.26132404181185","4.08536585365854","4.16550522648084","4.301393728223","9","21","0.566554405290989","0.531854838705953","0.61779705797611","0.588016999843929","0.48465777165425","0","0"
"6","Abner Imperial IPA","4.43181818181818","4.41363636363636","4.18181818181818","4.26363636363636","4.46363636363636","8.2","56","0.348504489903505","0.363842206126684","0.47277859476333","0.426792447403849","0.336666680429511","0","0"
"7","Abrasive Ale","4.43072824156306","4.50088809946714","4.24777975133215","4.29840142095915","4.44671403197158","9","56","0.443012980339219","0.413838803245477","0.370593264610024","0.403209016729977","0.408759561271498","0","0"
"8","Achel Trappist Extra","4.22832369942197","4.21965317919075","4.24277456647399","4.18208092485549","4.36705202312139","9.5","21","0.507107700780501","0.428987309339258","0.449828573343098","0.522819118455318","0.478868558286164","0","0"
"9","Adam","4.04858548585486","4.2060270602706","4.17589175891759","4.16051660516605","4.28966789667897","10","116","0.572707330440954","0.473094398203643","0.553590473106934","0.54230236124973","0.521145491740746","0","0"
"10","AleSmith IPA","4.30347734457323","4.29820864067439","4.30084299262381","4.21759747102213","4.3345626975764","7.25","7","0.508470989969141","0.441285706279515","0.428862844329899","0.482626562655786","0.474593256364656","0","0"
"11","AleSmith Speedway Stout","4.28439153439153","4.3289241622575","4.40388007054674","4.37786596119929","4.44135802469136","12","87","0.523527422574748","0.437447550736256","0.462182290093313","0.521247092080846","0.503605980700167","0","0"
"12","AleSmith Speedway Stout - Barrel Aged","4.35446009389671","4.5","4.32629107981221","4.39201877934272","4.49295774647887","12","87","0.525250447499195","0.45557345160942","0.423778878089027","0.520868432690996","0.537461874995932","0","0"
"13","Allagash Curieux (Bourbon Barrel-Aged Tripel)","4.04586466165413","4.13383458646617","4.1015037593985","4.17368421052632","4.26766917293233","11","26","0.5928173592389","0.517158480819857","0.429342619244469","0.507013274350669","0.556796570130514","0","0"
"14","Allagash Odyssey","4.221875","4.1953125","4.1765625","4.221875","4.3453125","10.3","21","0.51542621678857","0.45843870499582","0.402866759829535","0.462536535877917","0.446487400960319","0","0"
"15","Alpha King Pale Ale","4.33017635532332","4.25342913128674","4.11854996734161","4.13977792292619","4.32887001959504","6","10","0.465717418588259","0.435116615020793","0.418316874082502","0.444345390959029","0.420600213151637","0","0"
"16","Andechser Doppelbock Dunkel","4.43205574912892","4.25435540069686","4.27526132404181","4.36236933797909","4.43554006968641","7.1","54","0.530289164776888","0.450066256773894","0.441526101837519","0.509742801079483","0.475105771400619","0","0"
"17","Arctic Devil Barley Wine","4.19377990430622","4.38755980861244","4.11961722488038","4.33492822966507","4.4377990430622","13.2","63","0.479893386976162","0.398962931466795","0.398371500962105","0.398645687606591","0.471247258509719","0","0"
"18","Arrogant Bastard Ale","4.07840236686391","4.11926775147929","4.29641272189349","4.14312130177515","4.27884615384615","7.2","13","0.605156867854424","0.500198314407219","0.418175309522252","0.496235199646041","0.552547659500281","0","0"
"19","Ayinger Celebrator Doppelbock","4.29927536231884","4.24420289855072","4.25386473429952","4.30434782608696","4.42850241545894","6.7","54","0.519019092414441","0.473209496971965","0.436296688558792","0.480786405482788","0.475813443286283","0","0"
"20","B.O.R.I.S. The Crusher Oatmeal-Imperial Stout","4.17386091127098","4.1636690647482","4.15167865707434","4.29076738609113","4.31294964028777","9.4","132","0.504231991646116","0.448298333426018","0.471979115608247","0.498784728244093","0.462027662035581","0","0"
"21","Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout","4.13670886075949","4.22658227848101","4.07341772151899","4.24303797468354","4.29746835443038","9.4","132","0.527463332665954","0.41228251019546","0.405767074778734","0.50922543557794","0.465285972744252","0","0"
"22","Barrel Aged Sexual Chocolate","4.31617647058824","4.42647058823529","4.25367647058824","4.17647058823529","4.40808823529412","9.75","132","0.508479299733117","0.410642729121547","0.425990451681428","0.556208766310936","0.495170026475579","0","0"
"23","Barrel Aged Yeti","4.27519379844961","4.25968992248062","4.26744186046512","4.34496124031008","4.39922480620155","12.2","132","0.471704192223517","0.468127817055102","0.428690373167525","0.462662343181774","0.425642184680801","0","0"
"24","Beatification","4.33522727272727","4.40482954545455","4.13068181818182","4.33238636363636","4.49573863636364","5.5","173","0.575974788291082","0.417091372516518","0.448132040611164","0.4610492043333","0.504237338282077","0","0"
"25","Beer Geek Brunch Weasel","4.1725","4.24","4.35166666666667","4.31","4.36","10.9","87","0.518274152189791","0.4737517647013","0.436824046539276","0.505957826506985","0.459076520949189","0","0"
"26","Bell's Batch 6000","4.13030303030303","4.38787878787879","4.19393939393939","4.37272727272727","4.43030303030303","10.5","5","0.502727225948897","0.399510047309152","0.426228063550685","0.450793830487199","0.451612860651018","0","0"
"27","Bell's Batch 7000","4.07903225806452","4.31612903225806","4.47096774193548","4.41935483870968","4.37258064516129","12","87","0.592055575753909","0.449808858501878","0.454174131089466","0.492611661541364","0.590422303704354","0","0"
"28","Bell's Black Note Stout","4.38076923076923","4.46153846153846","4.27692307692308","4.51153846153846","4.61538461538461","11.5","87","0.460888281851731","0.355550586329815","0.398940158232941","0.410451559876883","0.371141448716358","0","0"
"29","Bell's Hopslam Ale","4.37760949652067","4.53315595579206","4.2425296766271","4.31436758084323","4.51841997544003","10","56","0.532677181136679","0.452635546994813","0.418917507647915","0.456352781905611","0.465065890158439","0","0"
"30","Berkshire Bourbon Barrel Scotch Ale","4.21621621621622","4.31081081081081","4.10810810810811","4.21621621621622","4.37387387387387","9.2","160","0.50281761387759","0.431983028149645","0.395459487669984","0.440152977650548","0.412687800051347","0","0"
"31","Berserker Imperial Stout","4.23461538461538","4.31923076923077","4.34615384615385","4.30769230769231","4.38461538461539","12.7","87","0.554014459618975","0.378715936139774","0.356806213261907","0.475706799252542","0.496259112498927","0","0"
"32","Bitter Monk","4.3141592920354","4.29203539823009","4.30973451327434","4.15929203539823","4.32300884955752","9","147","0.463847892370589","0.494278260432095","0.402661813474212","0.464188456214098","0.476784027468997","0","0"
"33","Black Butte XX","4.19818181818182","4.27454545454545","4.23272727272727","4.32363636363636","4.39636363636364","11","11","0.469698967537902","0.435730019964894","0.427629071075232","0.450856296543271","0.457286361256388","0","0"
"34","Black Butte XXI","4.26760563380282","4.32535211267606","4.23802816901408","4.26619718309859","4.39718309859155","11","11","0.465102700488902","0.451525446429958","0.378208009750314","0.435352854477431","0.409964801777648","0","0"
