"","X","BeerID","Name","StyleID","Beer_Style","Page_Views","Recipe_Type","Rating","Yield","Description","Ingredients","Procedure"
"154",154,154,"SigHill StraVa Porter",19,"Baltic Porter",4794,"partial mash","5-0","5.5 US gallons","0","1 lbs 3.4 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 1 lbs - Oats, Malted (1.0 SRM) (Grain) 3.3 oz - Chocolate Malt (450.0 SRM) (Grain) 1.6 oz - Black (Patent) Malt (500.0 SRM) (Grain) 6 lbs - Amber Liquid Extract (12.5 SRM) (Grain) 2 lbs 8.0 oz - Pale Liquid Extract (8.0 SRM) (Grain) 8.0 oz - Treacle (100.0 SRM) (Grain) 1 lbs 0.8 oz - Sugar, Table (Sucrose) (1.0 SRM) (Grain) 0.8 oz - Nugget [13.0%] - Boil 60 min (Hops) 0.8 oz - Fuggles [4.5%] - Boil 15 min (Hops) 0.50 tsp - Irish Moss (Boil 10 min) (Misc) 1 pkgs - Irish Ale Yeast (White Labs #WLP004) (Yeast)","0"
"636",636,636,"Alex's Baltic Porter 10g",19,"Baltic Porter",8518,"all-grain","4-5","5 US gallons","0","7 lbs - Munich Malt (9.0 SRM) (Grain) 7 lbs - Vienna Malt (3.5 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 4.2 oz - Special B Malt (180.0 SRM) (Grain) 2.3 oz - Carafa II (435.0 SRM) (Grain) 2.9 oz - Saaz [4.0%] - Boil 60 min (Hops) 1 pkgs - German Bock Lager (White Labs #WLP833) (Yeast)","0"
"830",830,830,"Gak & Gerry's #23 Anteater Porter",19,"Baltic Porter",5270,"all-grain","4-0","5 US gallons","Deep red color. Looks almost black in the fermenter.","7--1/2 pounds, pale malted barley 1 pound, crystal malt (10 Lovibond) 1/2 pound, chocolate malt 2 ounces, black patent malt 41.3 grams, Cluster - boil 11.4 grams, Cascade - 10 min. 13.7 grams, Cascade - finish Wyeast British","Add grains to 3.5 gallons cold water. Heat to 150 degrees and maintain for 90 minutes, stirring constantly. Used 4.5 gallons 170 degree sparge water. Collected 6 gallons wort. Boiled 60 minutes. Add Cluster at beginning of boil. Add 11.4 grams Cascade at 50 minutes. Turn off heat after 1 hour boil, and let last of Cascade hops steep. Cooled to about 75 derees and pitched."
"1068",1068,1068,"Across the Dark Pond - Bourbon Vanilla Porter",19,"Baltic Porter",5608,"all-grain","4-0","6.08 US gallons","The burbon oak chips were soaked in Makers Mark with the vanilla, and the whole lot added to Secondary. This left a wonderful light oak flavour and hint of vanilla. As it warms up the falvours develop on the pallete. This will become a regular on the kegs","1.22 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc) 12 lbs 10.8 oz - Pale Malt (Weyermann) (3.3 SRM) (Grain) 2 lbs 3.3 oz - Munich II (Weyermann) (8.5 SRM) (Grain) 1 lbs 8.0 oz - Brown Malt (65.0 SRM) (Grain) 15.9 oz - Crystal Malt Dark (Thomas Fawcett) (111.7 SRM) (Grain) 8.1 oz - Chocolate Malt (Thomas Fawcett) (508.0 SRM) (Grain) 7.1 oz - Crystal Malt - 60L (Thomas Fawcett) (60.0 SRM) (Grain) 1.0 oz - Magnum [14.0%] - Boil 60 min (Hops) 0.50 - Whirlfloc Tablet (Boil 15 min) (Misc) 0.4 oz - Goldings, East Kent [5.0%] - Boil 10 min (Hops) 1 pkgs - Irish Ale (Wyeast Labs #1084) (Yeast) 20.00 g - Oak Chips (Secondary 7 days) (Misc) 2.00 - Vanilla Pod (Secondary 7 days) (Misc)","0"
"1117",1117,1117,"Kazahk Imperial stout",19,"Baltic Porter",5245,"all-grain","4-0","5 US gallons","0","16 lbs - Pale Malt (2 Row) UK (3.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 8.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 8.0 oz - Chocolate Malt (350.0 SRM) (Grain) 1.0 oz - Northern Brewer [7.0%] - Boil 90 min (Hops) 1.5 oz - Williamette [5.5%] - Boil 45 min (Hops) 1.0 oz - Fuggles [4.5%] - Boil 20 min (Hops) 2.00 tbsp - Cayenne Pepper (Boil 5 min) (Misc) 1.00 - Cocoa, Dark (Boil 5 min) (Misc) 1.0 oz - Fuggles [4.5%] - Boil 2 min (Hops) 1 pkgs - Irish Ale (Wyeast Labs #1084) (Yeast) 1.00 - Raspberry Extract (Primary 7 days) (Misc)","0"
"1177",1177,1177,"Bryker's Chocolate Blackberry Porter",19,"Baltic Porter",4166,"extract","4-0","5 US gallons","Steep 1 lb. Maris Otter Pale Malt with the other malted grains listed above in 6.5 quarts of water heated to a strike temperature of 175&deg;F. The mash should then stabilize at a temperature of about 155&deg;F. Knock it down 3 degrees if you want more fermentables. Hold at that temperature for 45 minutes then strain and sparge the grains and collect the wort. (If you can&#39;t boil a total volume of 6.5 gallons, boil it in a total boil volume of 3 gallons and after collecting the wort, top off the fermenter with room temperature water to a final volume of 5 gallons. Boiling a smaller volume in a smaller pot will allow you to cool the wort at the end of the process without using a wort chiller. Just place the boil pot into a sink of cold water and change out the water as it heats up. That will cool the wort temperature a little more slowly than using a wort chiller but it will get the job done. Just monitor the wort temperature with a sanitized thermometer.). I also only start the boil using a portion of the liquid malt extract (say 1 lb. of it). I then add the remaining liquid extract at the end of the 60 minute boil and waiting 10 minutes to sanitize it. To take a hydrometer reading to determine the Original Gravity (O.G.) of the wort, extract a sample of the wort with a sanitized Fermtech wine/beer thief (19&rdquo; long) and I insert the hydrometer in it to measure the gravity instead of pouring the wort sample into a hydrometer jar. After measuring the gravity, dispose of the sample to prevent contamination of the batch. I also use a Fermtech Auto-Siphon to rack or transfer liquids from one container (fermenter) to another or during bottling (to which I attach a bottle filler). It&#39;s easier to use than a racking cane to rack the liquids. Follow this and you will have a premium chocolate porter to drink and to experiment with in future batches. Using an extract with grains recipe will really make for a fine b","5.00 gal - New Milford Water (Water) 1 lbs 11.4 oz - Munich Malt - 10L (10.0 SRM) (Grain) 1 lbs 8.2 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 1 lbs 2.3 oz - Biscuit Malt (23.0 SRM) (Grain) 7.9 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 4.1 oz - Chocolate Malt (450.0 SRM) (Grain) 3.9 oz - Special B Malt (180.0 SRM) (Grain) 1.6 oz - Black (Patent) Malt (500.0 SRM) (Grain) 7 lbs 14.3 oz - light Liquid Extract (17.5 SRM) (Grain) 1.3 oz - Northern Brewer [8.5%] - Boil 60 min (Hops) 1.2 oz - Goldings, B.C. [5.0%] - Boil 60 min (Hops) 0.25 tsp - Irish Moss (Boil 10 min) (Misc) 1 pkgs - London Ale Yeast (Wyeast Labs #1028) (Yeast)","0"
"1250",1250,1250,"Skarpetorp Imp(ressive) Stout",19,"Baltic Porter",3172,"all-grain","4-0","4.76 US gallons","0","13 lbs 0.1 oz - 50000C Pilsner (2 Row) Ger (2.0 SRM) (Grain) 8.8 oz - 50365 Caramunich Malt (56.0 SRM) (Grain) 8.8 oz - 51253 Barley, Flaked (1.7 SRM) (Grain) 8.8 oz - 51633 Chocolate Malt (450.0 SRM) (Grain) 7.1 oz - 50235C Wheat Malt, Ger (2.0 SRM) (Grain) 7.1 oz - 51643 Black (Patent) Malt (619.3 SRM) (Grain) 7.1 oz - Rye, Flaked (Briess) (4.6 SRM) (Grain) 1.3 oz - 410642 Magnum [14.0%] - Boil 60 min (Hops) 0.6 oz - 410642 Magnum [14.0%] - Boil 30 min (Hops) 0.28 g - 6300 Protafloc, granulat (Boil 15 min) (Misc) 0.6 oz - 440442 Centennial [10.0%] - Boil 15 min (Hops) 0.6 oz - 440442 Centennial [10.0%] - Boil 5 min (Hops) 1 pkgs - 101084 Irish Ale Yeast ( #Brewers choice 1084) (Yeast)","0"
"1309",1309,1309,"WC Gott'cha Imperial Porter",19,"Baltic Porter",2393,"all-grain","4-0","5.5 US gallons","Added 2oz pure vanilla extract to secondary","0.00 gal - WinterCreek (1218) (Water) 17 lbs 0.0 oz - Pale Malt(2-row) (2.0 SRM) (Grain) 2 lbs 0.0 oz - Crystal 40L (40.0 SRM) (Grain) 2 lbs 0.0 oz - Munich Malt(light) (10.0 SRM) (Grain) 1 lbs 4.0 oz - Chocolate Malt (350.0 SRM) (Grain) 1 lbs 0.0 oz - Carafa (400.0 SRM) (Grain) 1.8 oz - Tettnang [4.8%] - Boil 60 min (Hops) 0.5 oz - Goldings - B.C. [5.3%] - Boil 60 min (Hops) 0.2 oz - Magnum [14.0%] - Boil 60 min (Hops) 1.0 oz - Willamette [5.0%] - Boil 20 min (Hops) 0.5 oz - Goldings - B.C. [5.3%] - Boil 10 min (Hops) 1 pkgs - White Labs WLP001 California Ale ( #) (Yeast)","0"
"2317",2317,2317,"Santa's Pot Belly Porter",19,"Baltic Porter",1362,"all-grain","0-0","6 US gallons","Decent Porter. Far too much cardamom. Cut in half. Tastes very clove-like. Not sure if that was the fermentation or if it was the cardamom. Nice vanilla flavor. One first place (tie) at the 2012 Lancaster County Brewer's Club Christmas Party Porter Competiton. Still need to back off the cardamom.","6 lbs 0.0 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 3 lbs - Munich Malt (9.0 SRM) (Grain) 1 lbs 0.0 oz - Oats, Flaked (1.0 SRM) (Grain) 1 lbs - White Wheat Malt (2.4 SRM) (Grain) 12.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 12.0 oz - Chocolate Malt (350.0 SRM) (Grain) 8.0 oz - Melanoiden Malt (20.0 SRM) (Grain) 4.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 12.0 oz - Caramelized Sugar, Table (Sucrose) (1.0 SRM) (Grain) 10.0 oz - Milk Sugar (Lactose) (0.0 SRM) (Grain) 1.0 oz - Magnum [11.6%] - Boil 60 min (Hops) 1.0 oz - Willamette [4.9%] - Boil 20 min (Hops) 0.8 oz - Willamette [4.9%] - Boil 10 min (Hops) 1 pkgs - British Ale (White Labs #WLP005) (Yeast)","0"
"2328",2328,2328,"Papa Do's Creme Brulee Porter",19,"Baltic Porter",1362,"all-grain","0-0","5 US gallons","This is a very good beer. Very strong though. Smooth, slight chocolate, vanilla overtones. However, the burnt flavor of the carmenl disappated. Could it be the yeast is too attenuative? Perhaps I should try a less attenuative yeast nest time. Perhaps the London Ale yeast instead. No lasting head at all.","8 lbs 0.0 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 3 lbs - Munich Malt (9.0 SRM) (Grain) 1 lbs 0.0 oz - Oats, Flaked (1.0 SRM) (Grain) 1 lbs - White Wheat Malt (2.4 SRM) (Grain) 12.0 oz - Chocolate Malt (350.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 4.0 oz - Black (Patent) Malt (500.0 SRM) (Grain) 12.0 oz - Sugar, Table (Sucrose) (1.0 SRM) (Grain) 10.0 oz - Milk Sugar (Lactose) (0.0 SRM) (Grain) 1.2 oz - Northern Brewer [8.0%] - Boil 60 min (Hops) 0.8 oz - Northern Brewer [8.5%] - Boil 30 min (Hops) 1 pkgs - Dry English Ale (White Labs #WLP007) (Yeast)","0"
